dominio,tipoProjeto,siglaTipoProjeto,numero,ano,autor,ementa,tema,indexacao,situacao,siglaSituacao,situacaoGeral,siglaSituacaoGeral,dataPublicacao,numeroDoc,proposicao,matricula,assuntoGeral,local,arquivamento,atualizacao,horario,usuario,dataUltimaAcao,listaHistoricoTramitacoes,links,linksProposicoesAnexadas,acompanhamento,autoresEstruturados,regime,linksOrigem,norma,legislacaoCitada,linkLegislacao.url,linkLegislacao.rotulo,proposicaoLei.descricao,observacao
Remissivo,PROJETO DE LEI,PL,3968,1967,GOVERNADOR DO ESTADO,REORGANIZA O SERVIÇO DA JUNTA COMERCIAL E DÁ OUTRAS PROVIDÊNCIAS.,ADMINISTRAÇÃO PÚBLICA,"REORGANIZAÇÃO, JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS (JUCEMG).",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1967-01-25,000151302,PL. 3968 1967 - PROJETO DE LEI,,"EXECUTIVO
JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS (JUCEMG)
ORGANIZAÇÃO ADMINISTRATIVA",ARQUIVO,19710131,20160923,1443,malves,1967-01-23,"list(passo = 1, data = ""1967-01-23"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),N,NULL,NA,"list(descricao = ""MSG 1239 1967"")",NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3967,1967,DEPUTADO GOMES MOREIRA                     PSP,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO BENEFICENTE DOS MEMBROS DAS
IGREJAS EVANGÉLICAS ASSEMBLÉIA DE DEUS DE BELO HORIZONTE.",NA,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1967-01-24,000151303,PL. 3967 1967 - PROJETO DE LEI,312,UTILIDADE PÚBLICA,ARQUIVO,19710131,20120305,1502,rosanacf,1967-01-20,"list(passo = 1, data = ""1967-01-20"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),N,NULL,DELIBERAÇÃO DE PLENÁRIO,NULL,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3965,1967,COMISSÃO CONSTITUIÇÃO E JUSTIÇA,"APROVA CONVÊNIO ENTRE A DIRETORIA DO ENSINO SECUNDÁRIO DO MINISTÉRIO DA
EDUCAÇÃO E CULTURA E A SECRETARIA DE ESTADO DA EDUCAÇÃO, PARA CENTRO DE
TREINAMENTO DE PROFESSORES DESTINADOS AOS GINÁSIOS ORIENTADOS PARA O
TRABALHO, DA CIDADE DE BETIM.","EDUCAÇÃO
FINANÇAS PÚBLICAS","APROVAÇÃO, CONVÊNIO, SECRETARIA DE ESTADO DE EDUCAÇÃO (SEE), DIRETORIA
DO ENSINO SECUNDÁRIO, SUBORDINAÇÃO, MINISTÉRIO DA EDUCAÇÃO (MEC),
OBJETIVO, CRIAÇÃO, CENTRO DE TREINAMENTO, PROFESSOR, MUNICÍPIO, BETIM.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1967-01-21,000151306,PL. 3965 1967 - PROJETO DE LEI,,"CONVÊNIO
EDUCAÇÃO",ARQUIVO,19710131,20160129,1605,malves,1967-01-20,"list(passo = 1, data = ""1967-01-20"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO:\nARQUIVADO, FINAL DE LEGISLATURA.\nDESARQUIVADO A REQUERIMENTO DO DEP. ANIBAL TEIXEIRA EM 31 3 1967,\nRECEBEU O NÚMERO PRE 25 1967."")","list(expressao = ""(PRE adj '25' adj 1967[PROP])[dbmt]"", banco = ""mate"", descricao = ""PRE 25 1967"", url = ""/proposicoes/pesquisa/avancada?expr=%28PRE+adj+%2725%27+adj+1967%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PRE"", numero = 25, ano = 1967)",list(),N,NULL,NA,"list(descricao = ""MSG 1136 1967"")",NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3964,1967,COMISSÃO CONSTITUIÇÃO E JUSTIÇA,"APROVA CONVÊNIO CELEBRADO ENTRE O GOVERNO DO ESTADO DE MINAS
GERAIS E O INSTITUTO BRASILEIRO DE REFORMA AGRÁRIA - IBRA.",NA,"APROVAÇÃO, CONVÊNIO, EXECUTIVO, (IBRA).",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1967-01-21,000151307,PL. 3964 1967 - PROJETO DE LEI,,"CONVÊNIO
POLÍTICA FUNDIÁRIA",NA,NA,20130401,0951,vitoria,1967-01-20,"list(passo = 1, data = ""1967-01-20"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),N,NULL,NA,NULL,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3963,1967,GOVERNADOR DO ESTADO,DISPÕE SOBRE ESTÍMULOS FISCAIS.,NA,"DISPOSITIVOS, INCENTIVO FISCAL.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1967-01-21,000151308,PL. 3963 1967 - PROJETO DE LEI,,TRIBUTOS,ARQUIVO,19710131,20130401,0950,vitoria,1967-01-20,"list(passo = 1, data = ""1967-01-20"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),N,NULL,NA,"list(descricao = ""MSG 1239 1967"")",NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3962,1967,DEPUTADO WALDIR MORATO                     PLMTRLT,"DÁ DENOMINAÇÃO DE AMÂNCIO ROMEIRO ÀS ESCOLAS COMBINADAS DA CIDADE DE
PAINEIRAS.",NA,"DENOMINAÇÃO, ESTABELECIMENTO DE ENSINO, MUNICÍPIO, PAINEIRAS.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1967-01-24,000151304,PL. 3962 1967 - PROJETO DE LEI,721,"PRÓPRIO PÚBLICO
ESTABELECIMENTO DE ENSINO",ARQUIVO,19710131,20120329,1618,rosanacf,1967-01-20,"list(passo = 1, data = ""1967-01-20"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 5 1 1967\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. EXPEDITO TAVARES\nPUBLICAÇÃO: 27 1 1967\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),N,NULL,NA,NULL,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3961,1967,DEPUTADO MANOEL COSTA                      PSD,DÁ DENOMINAÇÃO DE SÃO MARCOS AO GINÁSIO ESTADUAL DE POÇO FUNDO.,NA,"DENOMINAÇÃO, ESTABELECIMENTO DE ENSINO, MUNICÍPIO, POÇO FUNDO.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1967-01-19,000151309,PL. 3961 1967 - PROJETO DE LEI,326,"PRÓPRIO PÚBLICO
ESTABELECIMENTO DE ENSINO",ARQUIVO,19710131,20120329,1617,rosanacf,1967-01-17,"list(passo = 1, data = ""1967-01-17"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 23 1 1967\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 27 1 1967\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. JEOVAH SANTOS\nPUBLICAÇÃO: 26 1 1967\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),N,"list(id = 326, nome = ""DEPUTADO MANOEL COSTA"", partido = ""PSD"")",NA,NULL,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3960,1967,DEPUTADO MANOEL COSTA                      PSD,"DÁ O NOME DE MARIA NICEZIA VILELA AO GRUPO ESCOLAR SITUADO NA
RUA DIREITA, EM ILICÍNEA.",NA,"DENOMINAÇÃO, ESTABELECIMENTO DE ENSINO, GRUPO ESCOLAR, MUNICÍPIO,
ILICÍNEA.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1967-01-19,000151310,PL. 3960 1967 - PROJETO DE LEI,326,"ESTABELECIMENTO DE ENSINO
PRÓPRIO PÚBLICO",ARQUIVO,19710131,20130401,0938,vitoria,1967-01-17,"list(passo = 1, data = ""1967-01-17"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 23 1 1967\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 27 1 1967\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. NICANOR NETO ARMANDO\nPUBLICAÇÃO: 26 1 1967\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),N,"list(id = 326, nome = ""DEPUTADO MANOEL COSTA"", partido = ""PSD"")",NA,NULL,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3959,1967,DEPUTADO MANOEL COSTA                      PSD,DÁ DENOMINAÇÃO A ESCOLAS RURAIS DO MUNICÍPIO DE PASSA-QUATRO.,NA,"DENOMINAÇÃO, ESTABELECIMENTO DE ENSINO, MUNICÍPIO, PASSA-QUATRO.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1967-01-19,000151311,PL. 3959 1967 - PROJETO DE LEI,326,"PRÓPRIO PÚBLICO
ESTABELECIMENTO DE ENSINO",ARQUIVO,19710131,20120329,1616,rosanacf,1967-01-17,"list(passo = 1, data = ""1967-01-17"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 23 1 1967\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 27 1 1967\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. EXPEDITO TAVARES\nPUBLICAÇÃO: 26 1 1967\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),N,"list(id = 326, nome = ""DEPUTADO MANOEL COSTA"", partido = ""PSD"")",NA,NULL,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3958,1967,DEPUTADO WALDOMIRO LOBO                    PTB,"DECLARA DE UTILIDADE PÚBLICA A CARITAS DIOCESANA DE BELO HORIZONTE, COM
SEDE NA CIDADE DE BELO HORIZONTE.",NA,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1967-01-19,000151312,PL. 3958 1967 - PROJETO DE LEI,347,UTILIDADE PÚBLICA,NA,NA,20120305,1501,rosanacf,1967-01-17,"list(passo = 1, data = ""1967-01-17"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 26 1 1967\nREDAÇÃO FINAL\nAPROVAÇÃO: 26 1 1967\nCOMISSÕES:\nJUSTIÇA\nDISCUSSÃO ÚNICA\nRELATOR: DEP. JAIRO MAGALHÃES\nPUBLICAÇÃO: 25 1 1967\nREDAÇÃO\nREDAÇÃO FINAL\nRELATORA: DEP. MARIA PENA\nPUBLICAÇÃO: (NÃO CONSTA)\nSANCIONADO\nPUBLICAÇÃO DA LEI: 10 2 1967"")",list(),list(),N,"list(id = 347, nome = ""DEPUTADO WALDOMIRO LOBO"", partido = ""PTB"")",NA,NULL,LEI 4423 1967 - LEI ORDINÁRIA,NA,/legislacao/mineira/LEI/4423/1967,LEI 4423 1967 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,3957,1967,GOVERNADOR DO ESTADO,"AUTORIZA DOAÇÃO DE TERRENO AO SMART FUTEBOL CLUBE, DA CIDADE
DE ITAJUBÁ.",NA,"AUTORIZAÇÃO, EXECUTIVO, DOAÇÃO, TERRENO, INSTITUIÇÃO ESPORTIVA,
MUNICÍPIO, ITAJUBÁ.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1967-01-14,000151313,PL. 3957 1967 - PROJETO DE LEI,,IMÓVEL,NA,NA,20130401,0938,vitoria,1967-01-13,"list(passo = 1, data = ""1967-01-13"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 25 1 1967\nREDAÇÃO FINAL\nAPROVAÇÃO: 26 1 1967\nCOMISSÕES:\nJUSTIÇA, E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. JEOVAH SANTOS\nPUBLICAÇÃO: 24 1 1967\nREDAÇÃO\nREDAÇÃO FINAL\nRELATORA: DEP. MARIA PENA\nPUBLICAÇÃO: (NÃO CONSTA)\nSANCIONADO\nPUBLICAÇÃO DA LEI: 10 2 1967"")",list(),list(),N,NULL,NA,"list(descricao = ""MSG 1236 1967"")",LEI 4425 1967 - LEI ORDINÁRIA,NA,/legislacao/mineira/LEI/4425/1967,LEI 4425 1967 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,3956,1967,GOVERNADOR DO ESTADO,"DISPÕE SOBRE A EDIÇÃO DO SUPLEMENTO LITERÁRIO DE MINAS GERAIS E DÁ OUTRAS
PROVIDÊNCIAS.",CULTURA,"NORMAS, EDIÇÃO, PUBLICAÇÃO OFICIAL.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1967-01-14,000151314,PL. 3956 1967 - PROJETO DE LEI,,PUBLICAÇÃO OFICIAL,NA,NA,20131024,1616,rosanacf,1967-01-13,"list(passo = 1, data = ""1967-01-13"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 26 1 1967\nREDAÇÃO FINAL\nAPROVAÇÃO: 26 1 1967\nCOMISSÕES:\nJUSTIÇA, EDUCAÇÃO E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. MARTINS SILVEIRA\nPUBLICAÇÃO: 26 1 1967\nREDAÇÃO\nREDAÇÃO FINAL\nRELATORA: DEP. MARIA PENA\nPUBLICAÇÃO: (NÃO CONSTA)\nSANCIONADO\nPUBLICAÇÃO DA LEI: 10 2 1967"")",list(),list(),N,NULL,NA,"list(descricao = ""MSG 1233 1967"")",LEI 4428 1967 - LEI ORDINÁRIA,NA,/legislacao/mineira/LEI/4428/1967,LEI 4428 1967 - LEI ORDINÁRIA,NA,NA
